"name","x","y","z"
"Floadu JZ-R b7-0",21998.375,-660.53125,14460.9375
"Plae Auscs CS-U b57-0",27099.78125,-19.75,41138.78125
"Dryignae HF-I b57-3",27167.78125,-54.3125,41117.4375
"Eock Bluae ZM-V c2-0",16142.75,-1123.875,27225.21875
"Phraa Pra QK-N d7-865",-12.28125,-1898.3125,26493.34375
"Scheau Phoe FQ-T b9-0",-5310.96875,-105.96875,-5969.125
"Eock Bluae CJ-J c9-1",16267.375,-1100.9375,27521.3125
"Dryignae HF-I b57-1",27158.0625,-62.34375,41116.5
"Dryignae RF-D c29-2",27103.6875,-39,41168.6875
"Eock Bluae LF-Q c5-1",16142.0625,-1135.03125,27336.875
"Phoi Screia HX-K d8-249",1621.78125,1583.03125,24028.4375
"Preou Auscs CA-A d3",27036.125,-6.65625,41196.3125
"Preou Auscs GL-Y c5",27000.46875,47.625,41244.03125
"Eock Bluae SF-Z c1",16285.34375,-1088.75,27136.4375
"Preae Aihm OY-Z d13-77",3358.90625,164.71875,11664.875
"Preou Auscs IW-W c1-0",26975.03125,55.53125,41257.15625
"Eock Bluae KV-F c11-0",16258.40625,-1101.53125,27576.8125
"Preou Auscs IW-W c1-1",27006.03125,58.0625,41277.65625
"Preou Auscs IW-W c1-2",26978.09375,72,41259.625
"Preou Auscs IW-W c1-3",26976.71875,73.96875,41258.375
"Preou Auscs IW-W c1-4",26988.25,76.15625,41276.03125
"Eock Bluae IW-V d2-7",16003.5625,-823.96875,27407.34375
"Preou Auscs IW-W c1-5",26987.46875,79.03125,41277.09375
"Preou Auscs IW-W c1-6",26981.59375,80.6875,41282.0625
"Preou Auscs IW-W c1-7",26980.125,73.09375,41275.53125
"Eock Bluae WG-X c1-0",16203.09375,-1120.3125,27181
"Preou Auscs IW-W c1-8",26977,75.9375,41270.375
"Eock Bluae WG-X c1-1",16178.65625,-1143.625,27193
"Preou Auscs IW-W c1-9",26982.96875,80.75,41278.6875
"Preou Auscs JW-W c1-0",27017.90625,57.96875,41256.28125
"Preou Auscs PC-U b3-0",27051,102.0625,41267.65625
"Preou Auscs KW-W c1-0",27070.78125,93.5,41268.59375
"Preou Auscs KW-W c1-1",27068.40625,91.625,41264.21875
"Floadu EW-B c1-2",22183.4375,-505.9375,14366.0625
